index,area,pop,sex,year
0,BRN,134.169176085,male,1990
1,BRN,119.835243516,female,1990
2,BRN,184.844047563,male,2005
3,BRN,179.956356589,female,2005
4,BRN,202.418035428,male,2010
5,BRN,198.397016037,female,2010
6,JPN,60777.3897925,male,1990
7,JPN,63073.3036658,female,1990
8,JPN,62380.2858531,male,2005
9,JPN,65017.7361532,female,2005
10,JPN,62173.0311565,male,2010
11,JPN,64789.8358687,female,2010
12,KOR,21642.6267339,male,1990
13,KOR,21593.2090977,female,1990
14,KOR,23611.4495412,male,2005
15,KOR,23760.0388399,female,2005
16,KOR,24217.6061492,male,2010
17,KOR,24389.5060372,female,2010
18,SGP,1395.2300977,male,1990
19,SGP,1357.05173149,female,1990
20,SGP,1760.87467354,male,2005
21,SGP,1783.68576441,female,2005
22,SGP,1840.40877484,male,2010
23,SGP,1869.65823253,female,2010
24,ARM,1714.71825341,male,1990
25,ARM,1820.80481224,female,1990
26,ARM,1452.93263049,male,2005
27,ARM,1662.23817383,female,2005
28,ARM,1453.01984602,male,2010
29,ARM,1666.22139991,female,2010
30,AZE,3507.17343883,male,1990
31,AZE,3679.15826468,female,1990
32,AZE,4284.28548639,male,2005
33,AZE,4441.98828734,female,2005
34,AZE,4605.88259697,male,2010
35,AZE,4714.86316928,female,2010
36,GEO,2605.16820184,male,1990
37,GEO,2885.78083875,female,1990
38,GEO,2160.95224843,male,2005
39,GEO,2425.04534154,female,2005
40,GEO,2072.06466669,male,2010
41,GEO,2325.27494975,female,2010
42,KAZ,8035.32315739,male,1990
43,KAZ,8568.63863054,female,1990
44,KAZ,7347.62067522,male,2005
45,KAZ,8038.22773238,female,2005
46,KAZ,7705.35025007,male,2010
47,KAZ,8346.08909535,female,2010
48,KGZ,2168.96664267,male,1990
49,KGZ,2264.14757132,female,1990
50,KGZ,2524.98849557,male,2005
51,KGZ,2582.72846319,female,2005
52,KGZ,2640.71699713,male,2010
53,KGZ,2709.3367025,female,2010
54,MNG,1088.19157409,male,1990
55,MNG,1113.34306756,female,1990
56,MNG,1270.64443948,male,2005
57,MNG,1300.47304753,female,2005
58,MNG,1365.92733114,male,2010
59,MNG,1401.40985956,female,2010
60,TJK,2630.66857432,male,1990
61,TJK,2664.54585755,female,1990
62,TJK,3225.77058338,male,2005
63,TJK,3282.40268667,female,2005
64,TJK,3410.86861379,male,2010
65,TJK,3521.09576839,female,2010
66,TKM,1809.57922493,male,1990
67,TKM,1862.62809766,female,1990
68,TKM,2354.93408324,male,2005
69,TKM,2420.31967362,female,2005
70,TKM,2501.56982473,male,2010
71,TKM,2576.64721073,female,2010
72,UZB,10193.9571092,male,1990
73,UZB,10438.751421,female,1990
74,UZB,13001.0299447,male,2005
75,UZB,13146.3696112,female,2005
76,UZB,13713.4638151,male,2010
77,UZB,13870.6273417,female,2010
78,CHN,592272.478356,male,1990
79,CHN,555680.937973,female,1990
80,CHN,682314.101886,male,2005
81,CHN,633754.717058,female,2005
82,CHN,701116.474526,male,2010
83,CHN,650047.113017,female,2010
84,PRK,9929.71665229,male,1990
85,PRK,10373.3587724,female,1990
86,PRK,11695.6533854,male,2005
87,PRK,12220.1275925,female,2005
88,PRK,12015.8379571,male,2010
89,PRK,12543.2055612,female,2010
90,TWN,10620.5420243,male,1990
91,TWN,9850.39104166,female,1990
92,TWN,11704.9761795,male,2005
93,TWN,11290.665966,female,2005
94,TWN,11706.7494918,male,2010
95,TWN,11561.1031358,female,2010
96,BGD,54410.2304488,male,1990
97,BGD,51378.847885,female,1990
98,BGD,72035.6471592,male,2005
99,BGD,68910.3800088,female,2005
100,BGD,75610.1057413,male,2010
101,BGD,73685.6935197,female,2010
102,BTN,287.123996749,male,1990
103,BTN,272.491794052,female,1990
104,BTN,347.50117948,male,2005
105,BTN,313.562609248,female,2005
106,BTN,385.934194219,male,2010
107,BTN,343.138228383,female,2010
108,IND,456079.887066,male,1990
109,IND,421518.354428,female,1990
110,IND,592670.00033,male,2005
111,IND,553036.622116,female,2005
112,IND,635024.373061,male,2010
113,IND,595355.080696,female,2010
114,NPL,9731.80372921,male,1990
115,NPL,9484.33847111,female,1990
116,NPL,13571.537623,male,2005
117,NPL,13780.2951958,female,2005
118,NPL,14906.8555183,male,2010
119,NPL,15164.2487135,female,2010
120,PAK,58123.1987964,male,1990
121,PAK,54578.5894703,female,1990
122,PAK,81657.7833175,male,2005
123,PAK,78299.0824617,female,2005
124,PAK,88763.4650202,male,2010
125,PAK,85827.4604388,female,2010
126,IDN,92573.2226324,male,1990
127,IDN,92530.5833304,female,1990
128,IDN,113925.196999,male,2005
129,IDN,114276.773167,female,2005
130,IDN,120138.288751,male,2010
131,IDN,120890.022734,female,2010
132,KHM,4604.4312639,male,1990
133,KHM,5061.29180038,female,1990
134,KHM,6546.01705651,male,2005
135,KHM,6886.50814712,female,2005
136,KHM,6948.7558095,male,2010
137,KHM,7270.3632497,female,2010
138,LAO,2115.93105973,male,1990
139,LAO,2117.9124236,female,1990
140,LAO,2869.7788801,male,2005
141,LAO,2899.94939565,female,2005
142,LAO,3098.43486088,male,2010
143,LAO,3115.3987418,female,2010
144,LKA,8796.80210644,male,1990
145,LKA,8627.82509669,female,1990
146,LKA,9892.07560122,male,2005
147,LKA,10081.6444664,female,2005
148,LKA,10349.1576234,male,2010
149,LKA,10624.0228702,female,2010
150,MDV,114.418121536,male,1990
151,MDV,106.657457131,female,1990
152,MDV,149.964805201,male,2005
153,MDV,146.160154317,female,2005
154,MDV,160.350665698,male,2010
155,MDV,157.415476785,female,2010
156,MMR,19605.1894289,male,1990
157,MMR,19875.67958,female,1990
158,MMR,23032.6658691,male,2005
159,MMR,23602.3669122,female,2005
160,MMR,23769.2100129,male,2010
161,MMR,24473.3168847,female,2010
162,MUS,532.482830213,male,1990
163,MUS,535.119796238,female,1990
164,MUS,623.497919651,male,2005
165,MUS,636.009361463,female,2005
166,MUS,643.936624204,male,2010
167,MUS,660.016706902,female,2010
168,MYS,9259.62949846,male,1990
169,MYS,8987.29470079,female,1990
170,MYS,13254.839684,male,2005
171,MYS,12829.2041953,female,2005
172,MYS,14473.1948905,male,2010
173,MYS,14065.7090079,female,2010
174,PHL,31262.3681313,male,1990
175,PHL,30622.9678287,female,1990
176,PHL,43109.7491878,male,2005
177,PHL,42641.0429322,female,2005
178,PHL,47007.9560898,male,2010
179,PHL,46723.7418465,female,2010
180,SYC,31.6761106778,male,1990
181,SYC,32.1670562634,female,1990
182,SYC,36.771162495,male,2005
183,SYC,37.2193264296,female,2005
184,SYC,38.590167684,male,2010
185,SYC,38.9311453626,female,2010
186,THA,28448.8952728,male,1990
187,THA,28832.4366256,female,1990
188,THA,32903.0091778,male,2005
189,THA,33978.8674674,female,2005
190,THA,34135.7232502,male,2010
191,THA,35339.9004966,female,2010
192,TLS,392.335505975,male,1990
193,TLS,371.673537873,female,1990
194,TLS,521.475165562,male,2005
195,TLS,501.010599354,female,2005
196,TLS,578.291838952,male,2010
197,TLS,556.699547977,female,2010
198,VNM,33044.9213315,male,1990
199,VNM,34743.6062036,female,1990
200,VNM,41186.8118498,male,2005
201,VNM,42451.5729971,female,2005
202,VNM,43651.4050632,male,2010
203,VNM,44713.5024869,female,2010
204,AUS,8562.36426095,male,1990
205,AUS,8606.28316871,female,1990
206,AUS,10214.0060222,male,2005
207,AUS,10310.9880922,female,2005
208,AUS,10786.64086,male,2010
209,AUS,10846.6656905,female,2010
210,NZL,1687.21887562,male,1990
211,NZL,1738.05789276,female,1990
212,NZL,2043.48463575,male,2005
213,NZL,2117.94764928,female,2005
214,NZL,2157.55812746,male,2010
215,NZL,2227.00305792,female,2010
216,ATG,30.5477600502,male,1990
217,ATG,30.9093878805,female,1990
218,ATG,39.8995469201,male,2005
219,ATG,40.4991936044,female,2005
220,ATG,42.5112115492,male,2010
221,ATG,43.1867054611,female,2010
222,BHS,128.19893307,male,1990
223,BHS,130.014174879,female,1990
224,BHS,156.848767624,male,2005
225,BHS,164.428005381,female,2005
226,BHS,168.333980298,male,2010
227,BHS,176.066188441,female,2010
228,BLZ,95.0429435401,male,1990
229,BLZ,96.6163033206,female,1990
230,BLZ,139.434383623,male,2005
231,BLZ,142.438951859,female,2005
232,BLZ,154.607557412,male,2010
233,BLZ,158.149753929,female,2010
234,BRB,125.937505029,male,1990
235,BRB,136.083133491,female,1990
236,BRB,135.397119029,male,2005
237,BRB,137.174541038,female,2005
238,BRB,136.456360485,male,2010
239,BRB,138.233732173,female,2010
240,CUB,5351.18598983,male,1990
241,CUB,5272.90932814,female,1990
242,CUB,5688.19691797,male,2005
243,CUB,5622.31793034,female,2005
244,CUB,5705.49556132,male,2010
245,CUB,5633.69641203,female,2010
246,DMA,33.9098116769,male,1990
247,DMA,34.2934208356,female,1990
248,DMA,34.304595641,male,2005
249,DMA,34.867262781,female,2005
250,DMA,34.6262356243,male,2010
251,DMA,35.225025602,female,2010
252,DOM,3653.91771249,male,1990
253,DOM,3584.998688,female,1990
254,DOM,4677.31479678,male,2005
255,DOM,4629.14215073,female,2005
256,DOM,5000.84305528,male,2010
257,DOM,4966.53913331,female,2010
258,GRD,47.6625201855,male,1990
259,GRD,48.9375649333,female,1990
260,GRD,51.5583080537,male,2005
261,GRD,52.162667998,female,2005
262,GRD,52.4751020669,male,2010
263,GRD,52.4364954517,female,2010
264,GUY,363.461910711,male,1990
265,GUY,374.008369733,female,1990
266,GUY,363.746785615,male,2005
267,GUY,362.660575899,female,2005
268,GUY,380.922673244,male,2010
269,GUY,377.839185407,female,2010
270,HTI,3533.95289258,male,1990
271,HTI,3635.08580501,female,1990
272,HTI,4659.62310206,male,2005
273,HTI,4741.87781814,female,2005
274,HTI,4978.36746315,male,2010
275,HTI,5064.02620669,female,2010
276,JAM,1176.28112922,male,1990
277,JAM,1212.83909123,female,1990
278,JAM,1333.54645975,male,2005
279,JAM,1371.77239533,female,2005
280,JAM,1358.9578264,male,2010
281,JAM,1400.90546117,female,2010
282,LCA,69.1429879882,male,1990
283,LCA,71.9042520984,female,1990
284,LCA,80.9874024902,male,2005
285,LCA,84.7829932594,female,2005
286,LCA,85.1227998605,male,2010
287,LCA,89.6997305331,female,2010
288,SUR,207.490535229,male,1990
289,SUR,200.724918024,female,1990
290,SUR,250.702793464,male,2005
291,SUR,247.769222466,female,2005
292,SUR,264.075091369,male,2010
293,SUR,262.79236327,female,2010
294,TTO,599.33407283,male,1990
295,TTO,620.970591714,female,1990
296,TTO,642.297216634,male,2005
297,TTO,680.250152327,female,2005
298,TTO,652.914540472,male,2010
299,TTO,694.981766173,female,2010
300,VCT,53.7087185438,male,1990
301,VCT,54.2244628261,female,1990
302,VCT,55.3170499399,male,2005
303,VCT,54.2238741305,female,2005
304,VCT,55.5206951309,male,2010
305,VCT,54.410740727,female,2010
306,ALB,1690.12706965,male,1990
307,ALB,1610.76009935,female,1990
308,ALB,1576.82332614,male,2005
309,ALB,1578.33565133,female,2005
310,ALB,1614.73297985,male,2010
311,ALB,1610.17233012,female,2010
312,BGR,4391.76320688,male,1990
313,BGR,4522.35542197,female,1990
314,BGR,3813.64111513,male,2005
315,BGR,4058.93714964,female,2005
316,BGR,3701.9083437,male,2010
317,BGR,3964.11796063,female,2010
318,BIH,2136.37380774,male,1990
319,BIH,2187.83680049,female,1990
320,BIH,1840.8977285,male,2005
321,BIH,1989.12525517,female,2005
322,BIH,1833.00303611,male,2010
323,BIH,1979.1011714,female,2010
324,CZE,5053.88986952,male,1990
325,CZE,5372.0019585,female,1990
326,CZE,5044.13963819,male,2005
327,CZE,5307.93073993,female,2005
328,CZE,5192.81053947,male,2010
329,CZE,5378.26801251,female,2010
330,HRV,2200.60319852,male,1990
331,HRV,2359.03085644,female,1990
332,HRV,2167.92816724,male,2005
333,HRV,2342.31899894,female,2005
